date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:33	4824/4824	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-12d8%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/spa.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/spa.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:34	4933/4933	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-1345%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/sport.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/sport.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:34	2700/2700	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-a8c%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/toy.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/toy.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:34	1857/1857	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-741%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/truck.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/truck.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:35	1010/1010	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-3f2%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/warehouse.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/warehouse.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:35	2314/2314	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-90a%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/watch.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/watch.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:35	3828/3828	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-ef4%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/music.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/music.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:36	3079/3079	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6e5-c07%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/food-svg-blue/apple.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/food-svg-blue/apple.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:36	2992/2992	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6e5-bb0%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/food-svg-blue/bread.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/food-svg-blue/bread.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:36	1324/1324	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6e5-52c%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/food-svg-blue/cafe.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/food-svg-blue/cafe.svg	(from https://bootstrap-ecommerce.com/components.html)
